Date,Open,High,Low,Close,Adj Close,Volume
1/6/2014,1465.98999,1465.98999,1463.75,1463.75,1463.75,0
1/8/2014,1462.670044,1462.670044,1462.670044,1462.670044,1462.670044,0
1/9/2014,1465.73999,1465.73999,1464.949951,1464.949951,1464.949951,0
1/10/2014,1469.189941,1469.390015,1469.189941,1469.390015,1469.390015,0
1/13/2014,1477.589966,1477.589966,1477.280029,1477.280029,1477.280029,0
1/14/2014,1469.76001,1471.060059,1469.76001,1471.060059,1471.060059,0
1/15/2014,1486.369995,1486.469971,1485.77002,1485.77002,1485.77002,0
1/16/2014,1480.630005,1480.630005,1480.430054,1480.430054,1480.430054,0
1/17/2014,1485.75,1485.75,1484.849976,1484.849976,1484.849976,0
1/20/2014,1495.920044,1495.939941,1495.920044,1495.939941,1495.939941,0
1/21/2014,1503.599976,1503.599976,1503.599976,1503.599976,1503.599976,0
1/22/2014,1498.72998,1498.72998,1498.72998,1498.72998,1498.72998,0
1/23/2014,1496.900024,1496.900024,1493.790039,1493.790039,1493.790039,0
1/24/2014,1494.180054,1494.180054,1491.689941,1492.719971,1492.719971,0
1/27/2014,1477.910034,1478.869995,1477.670044,1477.869995,1477.869995,0
1/28/2014,1468.349976,1470.829956,1468.339966,1470.829956,1470.829956,0
1/29/2014,1463.050049,1465.030029,1463.030029,1463.109985,1463.109985,0
1/30/2014,1463.599976,1463.599976,1463.599976,1463.599976,1463.599976,0
1/31/2014,1453.550049,1455.23999,1453.550049,1454.050049,1454.050049,0
2/3/2014,1442.52002,1442.52002,1439.52002,1440.900024,1440.900024,0
2/4/2014,1442.02002,1442.02002,1439.910034,1441.790039,1441.790039,0
2/5/2014,1442.02002,1460.72998,1437.630005,1456,1456,0
2/6/2014,1465.180054,1465.180054,1463.959961,1463.959961,1463.959961,0
2/7/2014,1478.219971,1478.219971,1478.219971,1478.219971,1478.219971,0
2/10/2014,1475.829956,1475.900024,1475.829956,1475.900024,1475.900024,0
2/11/2014,1475.829956,1488.939941,1473.300049,1483.430054,1483.430054,0
2/12/2014,1496.069946,1498.079956,1496.069946,1498.079956,1498.079956,0
2/13/2014,1478.77002,1478.77002,1478.77002,1478.77002,1478.77002,0
2/14/2014,1494.380005,1494.380005,1494.319946,1494.319946,1494.319946,0
2/17/2014,null,null,null,null,null,null
2/18/2014,1507.810059,1518.119995,1500.420044,1504.23999,1504.23999,0
2/19/2014,1504.02002,1507.920044,1482.030029,1485.599976,1485.599976,0
2/20/2014,1485.47998,1485.47998,1467.540039,1480.98999,1480.98999,0
2/21/2014,1481.849976,1492.339966,1481.849976,1487.640015,1487.640015,0
2/24/2014,1487.51001,1491.77002,1480.030029,1489.01001,1489.01001,0
2/25/2014,1489.589966,1495.130005,1472.439941,1478.640015,1478.640015,0
2/26/2014,1478.900024,1486.109985,1465.219971,1469.51001,1469.51001,0
2/27/2014,1469.930054,1476.26001,1431.619995,1448.699951,1448.699951,0
2/28/2014,1448.780029,1456.430054,1429.280029,1444.709961,1444.709961,0
3/3/2014,1438.02002,1438.02002,1261.839966,1288.810059,1288.810059,0
3/4/2014,1288.780029,1365.209961,1288.780029,1356.540039,1356.540039,0
3/5/2014,1356.27002,1364.030029,1330.670044,1351.109985,1351.109985,0
3/6/2014,1351.5,1370.359985,1301.959961,1337.97998,1337.97998,0
3/7/2014,1337.5,1359.180054,1322.099976,1339.359985,1339.359985,0
3/11/2014,1338.5,1338.5,1304.359985,1308.699951,1308.699951,0
3/12/2014,1307.079956,1307.079956,1271.76001,1274.209961,1274.209961,0
3/13/2014,1274.23999,1285.890015,1247.790039,1248.560059,1248.560059,0
3/14/2014,1248.290039,1248.290039,1182.890015,1237.430054,1237.430054,0
3/17/2014,1237.52002,1288.300049,1237.52002,1283.699951,1283.699951,0
3/18/2014,1285.530029,1340.150024,1278.819946,1335.859985,1335.859985,0
3/19/2014,1335.839966,1352.400024,1312.51001,1319.02002,1319.02002,0
3/20/2014,1316.670044,1325.449951,1302.72998,1320.5,1320.5,0
3/21/2014,1320.119995,1320.119995,1270.630005,1307.339966,1307.339966,0
3/24/2014,1307.339966,1332.930054,1297.880005,1297.910034,1297.910034,0
3/25/2014,1297.900024,1332.76001,1289.26001,1324.439941,1324.439941,0
3/26/2014,1324.51001,1359.859985,1324.51001,1349.390015,1349.390015,0
3/27/2014,1347.829956,1351.709961,1321.22998,1331.930054,1331.930054,0
3/28/2014,1333.01001,1353.829956,1330.540039,1344.119995,1344.119995,0
3/31/2014,1344.150024,1369.290039,1343.439941,1369.290039,1369.290039,0
4/1/2014,1369.319946,1378.530029,1359.619995,1375.72998,1375.72998,0
4/2/2014,1375.969971,1379.880005,1358.459961,1373.329956,1373.329956,0
4/3/2014,1373.569946,1382.050049,1360.48999,1366.040039,1366.040039,0
4/4/2014,1366.430054,1388,1361.630005,1382.410034,1382.410034,0
4/7/2014,1380.150024,1380.150024,1334.930054,1349.790039,1349.790039,0
4/8/2014,1349.849976,1352.329956,1334.670044,1352.329956,1352.329956,0
4/9/2014,1353.180054,1355.77002,1337.97998,1348.849976,1348.849976,0
4/10/2014,1348.77002,1367.709961,1348.300049,1367.709961,1367.709961,0
4/11/2014,1367.650024,1371.069946,1346.180054,1362.400024,1362.400024,0
4/14/2014,1362.040039,1362.040039,1337,1344.859985,1344.859985,0
4/15/2014,1344.180054,1347.829956,1308.930054,1311.01001,1311.01001,0
4/16/2014,1310.97998,1326.199951,1300.76001,1322.599976,1322.599976,0
4/17/2014,1322.670044,1336.219971,1311.01001,1329.670044,1329.670044,0
4/18/2014,null,null,null,null,null,null
4/21/2014,1356.47998,1359.150024,1342.47998,1345.040039,1345.040039,0
4/22/2014,1345,1345.02002,1327.069946,1335.619995,1335.619995,0
4/23/2014,1335.650024,1335.650024,1324.219971,1329.109985,1329.109985,0
4/24/2014,1329.099976,1334.089966,1289.880005,1300.540039,1300.540039,0
